sample_id,p1,p2,p3,p4,p5,type
240,-2.0,2.0,-2.0,0.0,2.0,deterministic
241,-0.5,0.5,-0.5,0.5,-0.5,deterministic
242,-1.0,1.0,-1.0,1.0,-1.0,deterministic
243,-1.5,1.5,-1.5,1.5,-1.5,deterministic
244,-2.0,2.0,-2.0,2.0,-2.0,deterministic
245,-0.5,0.5,-0.5,0.5,0.0,deterministic
246,-1.0,1.0,-1.0,1.0,0.0,deterministic
247,-1.5,1.5,-1.5,1.5,0.0,deterministic
248,-2.0,2.0,-2.0,2.0,0.0,deterministic
249,-0.5,0.5,-0.5,0.5,0.5,deterministic
250,-1.0,1.0,-1.0,1.0,1.0,deterministic
251,-1.5,1.5,-1.5,1.5,1.5,deterministic
252,-2.0,2.0,-2.0,2.0,2.0,deterministic
253,-0.5,0.5,0.0,-0.5,-0.5,deterministic
254,-1.0,1.0,0.0,-1.0,-1.0,deterministic
255,-1.5,1.5,0.0,-1.5,-1.5,deterministic
256,-2.0,2.0,0.0,-2.0,-2.0,deterministic
257,-0.5,0.5,0.0,-0.5,0.0,deterministic
258,-1.0,1.0,0.0,-1.0,0.0,deterministic
259,-1.5,1.5,0.0,-1.5,0.0,deterministic
260,-2.0,2.0,0.0,-2.0,0.0,deterministic
261,-0.5,0.5,0.0,-0.5,0.5,deterministic
262,-1.0,1.0,0.0,-1.0,1.0,deterministic
263,-1.5,1.5,0.0,-1.5,1.5,deterministic
264,-2.0,2.0,0.0,-2.0,2.0,deterministic
265,-0.5,0.5,0.0,0.0,-0.5,deterministic
266,-1.0,1.0,0.0,0.0,-1.0,deterministic
267,-1.5,1.5,0.0,0.0,-1.5,deterministic
268,-2.0,2.0,0.0,0.0,-2.0,deterministic
269,-0.5,0.5,0.0,0.0,0.0,deterministic
270,-1.0,1.0,0.0,0.0,0.0,deterministic
271,-1.5,1.5,0.0,0.0,0.0,deterministic
272,-2.0,2.0,0.0,0.0,0.0,deterministic
273,-0.5,0.5,0.0,0.0,0.5,deterministic
274,-1.0,1.0,0.0,0.0,1.0,deterministic
275,-1.5,1.5,0.0,0.0,1.5,deterministic
276,-2.0,2.0,0.0,0.0,2.0,deterministic
277,-0.5,0.5,0.0,0.5,-0.5,deterministic
278,-1.0,1.0,0.0,1.0,-1.0,deterministic
279,-1.5,1.5,0.0,1.5,-1.5,deterministic
280,-2.0,2.0,0.0,2.0,-2.0,deterministic
281,-0.5,0.5,0.0,0.5,0.0,deterministic
282,-1.0,1.0,0.0,1.0,0.0,deterministic
283,-1.5,1.5,0.0,1.5,0.0,deterministic
284,-2.0,2.0,0.0,2.0,0.0,deterministic
285,-0.5,0.5,0.0,0.5,0.5,deterministic
286,-1.0,1.0,0.0,1.0,1.0,deterministic
287,-1.5,1.5,0.0,1.5,1.5,deterministic
288,-2.0,2.0,0.0,2.0,2.0,deterministic
289,-0.5,0.5,0.5,-0.5,-0.5,deterministic
290,-1.0,1.0,1.0,-1.0,-1.0,deterministic
291,-1.5,1.5,1.5,-1.5,-1.5,deterministic
292,-2.0,2.0,2.0,-2.0,-2.0,deterministic
293,-0.5,0.5,0.5,-0.5,0.0,deterministic
294,-1.0,1.0,1.0,-1.0,0.0,deterministic
295,-1.5,1.5,1.5,-1.5,0.0,deterministic
296,-2.0,2.0,2.0,-2.0,0.0,deterministic
297,-0.5,0.5,0.5,-0.5,0.5,deterministic
298,-1.0,1.0,1.0,-1.0,1.0,deterministic
299,-1.5,1.5,1.5,-1.5,1.5,deterministic
300,-2.0,2.0,2.0,-2.0,2.0,deterministic
301,-0.5,0.5,0.5,0.0,-0.5,deterministic
302,-1.0,1.0,1.0,0.0,-1.0,deterministic
303,-1.5,1.5,1.5,0.0,-1.5,deterministic
304,-2.0,2.0,2.0,0.0,-2.0,deterministic
305,-0.5,0.5,0.5,0.0,0.0,deterministic
306,-1.0,1.0,1.0,0.0,0.0,deterministic
307,-1.5,1.5,1.5,0.0,0.0,deterministic
308,-2.0,2.0,2.0,0.0,0.0,deterministic
